,s3_path,label
0,s3://ladi/Images/FEMA_CAP/3043/291612/DSC_7093_05a3c0d1-3469-4ae8-a4f8-8e615948df1e.jpg,True
1,s3://ladi/Images/FEMA_CAP/9073/613928/DSC_0101_bca022da-2bfb-4052-8793-15c00edaaa64.jpg,True
2,s3://ladi/Images/FEMA_CAP/9074/613911/DSC_2651_bb64c00b-f124-4e7d-9928-297f512de7c0.jpg,True
3,s3://ladi/Images/FEMA_CAP/9073/613894/DSC_4199_0a3a336c-5cc8-4de8-b2fe-fb466b6549b1.jpg,True
4,s3://ladi/Images/FEMA_CAP/9073/613947/DSC_3484_26bff6c4-81a1-42c7-9fe3-740236867416.jpg,True
5,s3://ladi/Images/FEMA_CAP/9073/613829/DSC_0528_2ae19442-e766-42f6-95f3-809edde71515.jpg,True
6,s3://ladi/Images/FEMA_CAP/3033/231175/CAPIberv_51471c35-2ff9-4ddc-8866-ff9815cb024c.jpg,True
7,s3://ladi/Images/FEMA_CAP/9107/616209/DSC_0152_b9b09f7a-6654-4960-8dce-0d92438fcc53.jpg,True
8,s3://ladi/Images/FEMA_CAP/9073/613547/DSC_1434_20003465-b531-4dc4-8257-efb772bf3b78.jpg,True
9,s3://ladi/Images/FEMA_CAP/9073/613824/DSC_1547_98d84103-f867-45e0-89f1-4d8a1ac99751.jpg,True
10,s3://ladi/Images/FEMA_CAP/9075/614042/A0080_AP_4e7c93c5-59f3-42c7-9b86-71686963b906.jpg,True
11,s3://ladi/Images/FEMA_CAP/3042/291505/DSC_1125_d58e17a7-dc01-43fa-a44e-4d73c7fb64fc.jpg,True
12,s3://ladi/Images/FEMA_CAP/9073/613903/DSC_0580_ffb48afa-049b-41ec-a616-dcf77a734512.jpg,True
13,s3://ladi/Images/FEMA_CAP/9074/613910/DSC_5434_8b715835-312b-499a-b330-462f88665fd4.jpg,True
14,s3://ladi/Images/FEMA_CAP/9073/613885/DSC_7696_fe8f932f-b506-4f23-9c3e-8757cc63bc38.jpg,True
15,s3://ladi/Images/FEMA_CAP/9075/614110/A0068_AP_636c47d1-55c6-4af8-84bd-6e92dc64e5a6.jpg,True
16,s3://ladi/Images/FEMA_CAP/9075/614042/A0080_AP_cf98a385-45e5-404b-ad37-81e0f7979b2e.jpg,True
17,s3://ladi/Images/FEMA_CAP/9075/614110/A0068_AP_e6cb1290-15b1-4e99-882f-f4ea9e6d8573.jpg,True
18,s3://ladi/Images/FEMA_CAP/9074/613883/DSC_0832_16dd745d-7c91-41b7-b42d-bc352b23dfc1.jpg,True
19,s3://ladi/Images/FEMA_CAP/3045/291576/DSC_0773_aa0f30ac-5e66-4e14-8fb1-c086d9ca7883.jpg,True
20,s3://ladi/Images/FEMA_CAP/9107/616209/DSC_0211_959bd2ec-73db-4766-b66f-29a877e7a90d.jpg,True
21,s3://ladi/Images/FEMA_CAP/9073/613829/DSC_0675_0cb30964-6d87-4af9-b145-68ed665eb49f.jpg,True
22,s3://ladi/Images/FEMA_CAP/9073/613934/010_8905_4f4094b9-5959-4ea6-996d-8a92adbdc339.jpg,True
23,s3://ladi/Images/FEMA_CAP/9073/613531/DSC_3102_71d9bac8-5582-4266-9a9c-8a4ace6095d3.jpg,True
24,s3://ladi/Images/FEMA_CAP/9073/613829/DSC_9948_59e1894b-861c-4a71-a78a-0dcdb3b0742d.jpg,True
25,s3://ladi/Images/FEMA_CAP/9075/614104/A0084_AP_303f5bfe-163a-4b51-bbbb-710407513eae.jpg,True
26,s3://ladi/Images/FEMA_CAP/9074/613718/DSC_0086_a472431e-a038-46cd-bb00-b0dcbbb399b6.jpg,True
27,s3://ladi/Images/FEMA_CAP/9074/613833/DSC_0973_a6a80a84-9555-4560-bdb0-b0ff34efbb6c.jpg,True
28,s3://ladi/Images/FEMA_CAP/9073/613927/DSC_0078_36284ce5-1a65-4b5f-8206-6b883652ea93.jpg,True
29,s3://ladi/Images/FEMA_CAP/9073/613822/_CAP1070_8bf2c06b-66a0-4c14-953f-5040adf4f455.jpg,True
30,s3://ladi/Images/FEMA_CAP/9107/616206/DSC_0247_64f7144b-a496-4103-afcc-904242e8949f.jpg,True
31,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-96_14bae07e-5f47-4126-bf84-55010186b655.jpg,True
