,s3_path,label
0,s3://ladi/Images/FEMA_CAP/2024/100502/010_1484_7b040877-5756-4f69-b03b-3f5c6cc763a7.jpg,True
1,s3://ladi/Images/FEMA_CAP/9096/615126/SteveBla_6082a2c1-4140-433c-9d1d-605f8a183069.jpg,True
2,s3://ladi/Images/FEMA_CAP/9073/613947/DSC_5119_90b03727-ec15-480c-b480-48e32e0aab1b.jpg,True
3,s3://ladi/Images/FEMA_CAP/9074/613833/DSC_1626_49e03780-8429-4ed4-adaf-ad68fc5c584a.jpg,True
4,s3://ladi/Images/FEMA_CAP/9096/615035/DSC_0077_e09800e8-c3d0-475f-9be4-b9261f0241a7.jpg,True
5,s3://ladi/Images/FEMA_CAP/9073/613806/4e280d2e-5808-47a4-94b3-6c276278bc0c.jpg,True
6,s3://ladi/Images/FEMA_CAP/2024/100537/Bogue_Fa_28f48f00-9222-4675-80b6-fb3604d9812b.jpg,True
7,s3://ladi/Images/FEMA_CAP/9113/615619/_DSC6770_60c4cccf-6ece-474f-80af-30bd3a19506e.jpg,True
8,s3://ladi/Images/FEMA_CAP/9096/615126/SteveBla_a6fabb94-3a57-436a-b672-43e7ad15d7ad.jpg,True
9,s3://ladi/Images/FEMA_CAP/9073/613577/DSC_0366_7d36ab6a-09f7-4d44-b63f-5ad1b383061c.jpg,True
10,s3://ladi/Images/FEMA_CAP/9073/613823/DSC_0632_53aaa798-9fd9-4944-b6b0-11408dfb4e59.jpg,True
11,s3://ladi/Images/FEMA_CAP/9073/613551/DSC_1055_977aced6-eb19-4fe8-9cae-56a102fbb617.jpg,True
12,s3://ladi/Images/FEMA_CAP/9073/613890/DSC_4392_ef278080-e683-47e9-90e8-7d33288c9fff.jpg,True
13,s3://ladi/Images/FEMA_CAP/9074/613770/DSC_4103_3f1780f8-579a-43ae-9ecd-e2dc65293304.jpg,True
14,s3://ladi/Images/FEMA_CAP/9157/616220/DSC_8092_8a19b440-e925-4945-b1e9-3d3d9b9b5091.jpg,True
15,s3://ladi/Images/FEMA_CAP/9096/615127/TimCooli_2f4959a1-6db1-46a8-9e83-46e283b0d4ed.jpg,True
